"SYMBOL","ENSEMBL","ENTREZID"
"GOT1","ENSG00000120053","2805"
"NDUFA11","ENSG00000174886","126328"
"CAD","ENSG00000084774","790"
"NDUFB2","ENSG00000090266","4708"
"DAD1","ENSG00000129562","1603"
"PDXK","ENSG00000160209","8566"
"COQ4","ENSG00000167113","51117"
"GSS","ENSG00000100983","2937"
"SCO2","ENSG00000284194","9997"
"GPI","ENSG00000105220","2821"
"GPI","ENSG00000282019","2821"
"SLC25A1","ENSG00000100075","6576"
"PMM2","ENSG00000140650","5373"
"MCAT","ENSG00000100294","27349"
"GUK1","ENSG00000143774","2987"
"UROD","ENSG00000126088","7389"
"PDE12","ENSG00000174840","201626"
"ADSL","ENSG00000239900","158"
"ACAD9","ENSG00000177646","28976"
"CTPS1","ENSG00000171793","1503"
"TRPC1","ENSG00000144935","7220"
"ACADL","ENSG00000115361","33"
"NDUFA10","ENSG00000130414","4705"
"ATP8B3","ENSG00000130270","148229"
"NDUFB9","ENSG00000147684","4715"
"TYMS","ENSG00000176890","7298"
"ATP6V1D","ENSG00000100554","51382"
"PLCB2","ENSG00000137841","5330"
"PFKP","ENSG00000067057","5214"
"ALOX15B","ENSG00000179593","247"
"CYP2C18","ENSG00000108242","1562"
"OGDH","ENSG00000105953","4967"
"SFXN4","ENSG00000183605","119559"
"FASN","ENSG00000169710","2194"
"ACACA","ENSG00000278540","31"
"ACACA","ENSG00000275176","31"
"PDSS2","ENSG00000164494","57107"
"PKM","ENSG00000067225","5315"
"LDHB","ENSG00000111716","3945"
"FDPS","ENSG00000160752","2224"
"COASY","ENSG00000068120","80347"
"ITPA","ENSG00000125877","3704"
"CYB5R2","ENSG00000166394","51700"
"KCNAB1","ENSG00000169282","7881"
"UGP2","ENSG00000169764","7360"
"SYNJ2","ENSG00000078269","8871"
"ALG8","ENSG00000159063","79053"
"MOCS3","ENSG00000124217","27304"
"SLC2A1","ENSG00000117394","6513"
"NRF1","ENSG00000106459","4899"
"SLC16A11","ENSG00000174326","162515"
"CYB5D1","ENSG00000182224","124637"
"PLIN5","ENSG00000214456","440503"
"APOH","ENSG00000091583","350"
"MOCOS","ENSG00000075643","55034"
"ATP10A","ENSG00000206190","57194"
"SLC4A8","ENSG00000050438","9498"
"PMVK","ENSG00000163344","10654"
"GOT2","ENSG00000125166","2806"
"DHDDS","ENSG00000117682","79947"
"NDUFB7","ENSG00000099795","4713"
"BCS1L","ENSG00000074582","617"
"SCAP","ENSG00000114650","22937"
"INPP5B","ENSG00000204084","3633"
"KCNJ4","ENSG00000168135","3761"
"SLC29A1","ENSG00000112759","2030"
"HYI","ENSG00000178922","81888"
"MPO","ENSG00000005381","4353"
"ATP2A1","ENSG00000196296","487"
"LPIN2","ENSG00000101577","9663"
"SLC25A25","ENSG00000148339","114789"
"NDUFC1","ENSG00000109390","4717"
"CYP19A1","ENSG00000137869","1588"
"ALG10","ENSG00000139133","84920"
"ENPP3","ENSG00000154269","5169"
"ORAI3","ENSG00000175938","93129"
"DIO3","ENSG00000197406","1735"
"GGT7","ENSG00000131067","2686"
"ATP6V1E1","ENSG00000131100","529"
"KCNQ1","ENSG00000053918","3784"
"KCNQ1","ENSG00000282076","3784"
"AK3","ENSG00000147853","50808"
"AK2","ENSG00000004455","204"
"SLC4A10","ENSG00000144290","57282"
"RYR2","ENSG00000198626","6262"
"CYP4F3","ENSG00000186529","4051"
"HS3ST3B1","ENSG00000125430","9953"
"CDIPT","ENSG00000103502","10423"
"NDUFB6","ENSG00000165264","4712"
"CHST2","ENSG00000175040","9435"
"NDUFC2","ENSG00000151366","4718"
"SCNN1A","ENSG00000111319","6337"
"COX7C","ENSG00000127184","1350"
"SLC9A3","ENSG00000066230","6550"
"SLC9A3","ENSG00000281861","6550"
"CLCN6","ENSG00000011021","1185"
"COX15","ENSG00000014919","1355"
"SLC30A1","ENSG00000170385","7779"
"KCNC2","ENSG00000166006","3747"
"PIGL","ENSG00000108474","9487"
"SLC25A12","ENSG00000115840","8604"
"SLC47A2","ENSG00000180638","146802"
"SLC5A7","ENSG00000115665","60482"
"RRM1","ENSG00000167325","6240"
"XYLT1","ENSG00000103489","64131"
"XYLT1","ENSG00000285395","64131"
"SLC7A1","ENSG00000139514","6541"
"NDUFA9","ENSG00000139180","4704"
"ACSM2A","ENSG00000183747","123876"
"FECH","ENSG00000066926","2235"
"GMPS","ENSG00000163655","8833"
"SLC16A8","ENSG00000100156","23539"
"MFSD2A","ENSG00000168389","84879"
"LDHAL6B","ENSG00000171989","92483"
"DUOX1","ENSG00000137857","53905"
"NDUFS3","ENSG00000213619","4722"
"NDUFS3","ENSG00000285387","4722"
"CACNB2","ENSG00000165995","783"
"ACAT2","ENSG00000120437","39"
"KDSR","ENSG00000119537","2531"
"HSD17B11","ENSG00000198189","51170"
"SLC25A22","ENSG00000177542","79751"
"HMBS","ENSG00000256269","3145"
"CYP2C8","ENSG00000138115","1558"
"MLYCD","ENSG00000103150","23417"
"MLXIP","ENSG00000175727","22877"
"MLXIP","ENSG00000281178","22877"
"LPIN1","ENSG00000134324","23175"
"PIK3R2","ENSG00000105647","5296"
"CACNA1G","ENSG00000006283","8913"
"SUCLG1","ENSG00000163541","8802"
"PHYH","ENSG00000107537","5264"
"UCK2","ENSG00000143179","7371"
"GPIHBP1","ENSG00000277494","338328"
"PAICS","ENSG00000128050","10606"
"ATP6V1H","ENSG00000047249","51606"
"ENPP5","ENSG00000112796","59084"
"THEM5","ENSG00000196407","284486"
"SLC16A1","ENSG00000155380","6566"
"SLC16A1","ENSG00000281917","6566"
"PI4KB","ENSG00000143393","5298"
"CACNA1I","ENSG00000100346","8911"
"COQ5","ENSG00000110871","84274"
"CYP4F2","ENSG00000186115","8529"
"ELOVL4","ENSG00000118402","6785"
"NDUFB8","ENSG00000166136","4714"
"SCN9A","ENSG00000169432","6335"
"INMT","ENSG00000241644","11185"
"KCNK9","ENSG00000169427","51305"
"GK2","ENSG00000196475","2712"
"HMGCS1","ENSG00000112972","3157"
"NDUFA1","ENSG00000125356","4694"
"GCKR","ENSG00000084734","2646"
"SLC25A26","ENSG00000144741","115286"
"SLC25A26","ENSG00000282739","115286"
"SLC24A4","ENSG00000140090","123041"
"HPSE2","ENSG00000172987","60495"
"COX7B","ENSG00000131174","1349"
"NDUFB4","ENSG00000065518","4710"
"GCSH","ENSG00000140905","2653"
