"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","ENSEMBL","ENTREZID"
"1","CYP4X1",177.713479841958,1.76971743681201,0.180598661729586,9.7991724847986,1.13511744660384e-22,3.48529703997946e-19,"up","ENSG00000186377",260293
"2","FMO3",771.588274216933,3.75554974695786,0.421090134596992,8.91863626905473,4.72065027024422e-19,6.76406241722394e-16,"up","ENSG00000007933",2328
"3","LOXL1",290.188341912546,2.16186598893441,0.264148921774082,8.18426959464703,2.73960151935903e-16,1.96274184851946e-13,"up","ENSG00000129038",4016
"4","SLC34A2",313.957490130948,2.16808554668736,0.280919488929596,7.7178182081583,1.18337815843345e-14,5.91496436260699e-12,"up","ENSG00000157765",10568
"5","SGPP2",212.872623186193,2.36669413663225,0.311787917306506,7.59071793762182,3.1813780698663e-14,1.45483742246035e-11,"up","ENSG00000163082",130367
"6","C3",3782.4315910674,1.57134132551791,0.215959823567412,7.27608172465198,3.43655449324297e-13,1.19132041489147e-10,"up","ENSG00000125730",718
"7","P4HA1",1135.64975003569,-1.76873059291198,0.244555010763762,-7.23244470595026,4.743758116399e-13,1.61837449517085e-10,"down","ENSG00000122884",5033
"8","UCP2",804.376357718776,2.65891186301925,0.381891162450975,6.96248597625139,3.3431988686258e-12,9.21222734402236e-10,"up","ENSG00000175567",7351
"9","FUT2",205.169675571553,1.93280103420959,0.285538937680301,6.76895785181363,1.29713320589929e-11,3.27991576404628e-09,"up","ENSG00000176920",2524
"10","CLIC3",1103.58217045164,1.65658672088978,0.245889988432678,6.73710520484787,1.615731974133e-11,3.99160084138396e-09,"up","ENSG00000169583",9022
"11","CLIC5",23.8173575439812,3.44931836449026,0.519349863902084,6.64160829575298,3.10278647930121e-11,7.01980945259169e-09,"up","ENSG00000112782",53405
"12","ATP13A5",48.0265278200397,4.54519233986834,0.684586153973827,6.63932846652652,3.15115476682171e-11,7.05497597951032e-09,"up","ENSG00000187527",344905
"13","CACNA1G",57.4930016852643,2.95963409861016,0.457484236589707,6.46936847632741,9.8413346606004e-11,1.88856969518111e-08,"up","ENSG00000006283",8913
"14","ALDH2",58.8834708744185,1.95782428463891,0.303983024839295,6.44057109989594,1.19024781581291e-10,2.2245214178493e-08,"up","ENSG00000111275",217
"15","ALDH1A1",954.96974227058,2.25771778255273,0.350720571451848,6.43736913750639,1.2156204864425e-10,2.23310522351355e-08,"up","ENSG00000165092",216
"16","LOX",321.88881905716,-1.89107044902094,0.295476501670876,-6.40007052448237,1.55305200136314e-10,2.8050207281763e-08,"down","ENSG00000113083",4015
"17","GCNT3",520.423755611126,1.9594383008735,0.308049149374334,6.36079763522552,2.0070873032088e-10,3.45106619262933e-08,"up","ENSG00000140297",9245
"18","CES1",302.506621575407,2.64913923134608,0.419875236741875,6.3093485862675,2.80212351798031e-10,4.74220793479928e-08,"up","ENSG00000198848",1066
"19","CES1",302.506621575407,2.64913923134608,0.419875236741875,6.3093485862675,2.80212351798031e-10,4.74220793479928e-08,"up","ENSG00000262243",1066
"20","KCNK12",42.5182800764788,3.18767449248577,0.508385231200318,6.27019491687346,3.60596419731265e-10,6.00798360409618e-08,"up","ENSG00000184261",56660
"21","ADH1C",31.9317370665665,2.85541974003009,0.465874061595086,6.12916660406794,8.834058286773e-10,1.30048229286036e-07,"up","ENSG00000248144",126
"22","FBP1",23.4878561843516,2.90779445682333,0.481589166533111,6.03791500908566,1.56118250234914e-09,2.15092920019168e-07,"up","ENSG00000165140",2203
"23","HMGCS2",159.812741875392,2.4707808249968,0.411983435122719,5.99728196416642,2.00647497504252e-09,2.66204732336968e-07,"up","ENSG00000134240",3158
"24","LIPH",316.952973647888,1.92861188720787,0.322538451048994,5.97947897664737,2.23852448654771e-09,2.93369553593719e-07,"up","ENSG00000163898",200879
"25","ATP6V1B1",65.876012036609,1.772928501775,0.301436911010104,5.8815905982913,4.06342423514001e-09,4.74327830434534e-07,"up","ENSG00000116039",525
"26","CA13",80.1670405132257,2.07936634030266,0.354378957975888,5.86763489621228,4.42055325701824e-09,5.04397673289131e-07,"up","ENSG00000185015",377677
"27","ATP10A",18.9366059715224,3.27775641788914,0.563355341155208,5.81827521359401,5.94579487743961e-09,6.34855319918132e-07,"up","ENSG00000206190",57194
"28","SOD3",277.024614188426,1.61174149300089,0.282095590436202,5.71345865601326,1.10702778803514e-08,1.07662209268051e-06,"up","ENSG00000109610",6649
"29","SLC27A2",85.1148124895823,1.58152668013083,0.279247962369161,5.66352093212441,1.48298070642469e-08,1.39796948785903e-06,"up","ENSG00000140284",11001
"30","GABRE",256.042949339494,4.33871232783442,0.7945840667429,5.46035656820976,4.75179253515186e-08,3.79666457093007e-06,"up","ENSG00000102287",2564
"31","TRPV6",64.2394152503742,1.6488062971856,0.305210092021599,5.40220110765183,6.58280870464936e-08,5.03989486930557e-06,"up","ENSG00000165125",55503
"32","TRPV6",64.2394152503742,1.6488062971856,0.305210092021599,5.40220110765183,6.58280870464936e-08,5.03989486930557e-06,"up","ENSG00000276971",55503
