"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","GABRE",165.496057376761,3.33165470250068,0.380673805961818,8.75199357119635,2.09616346038541e-18,2.24886896847449e-14,"up"
"2","ACSL5",123.41761512368,2.57458021372819,0.299428704831303,8.59830795173329,8.08999755798461e-18,5.78623592005586e-14,"up"
"3","MAGEA4",1024.16909444767,5.89328830363992,0.709271858809764,8.30892728992449,9.65710692348518e-17,4.14425086514443e-13,"up"
"4","KRT75",880.752867564269,2.85670439470704,0.384479653021531,7.43005350805148,1.08553757422129e-13,3.32748281858089e-10,"up"
"5","ITGAM",44.4717384345606,1.91125995359716,0.270894463785788,7.05536734448919,1.72145340835937e-12,4.10413619812966e-09,"up"
"6","WFDC12",112.454037609889,3.38311176129053,0.500308662532988,6.76204914014949,1.36053537714457e-11,2.85353930543691e-08,"up"
"7","MEFV",79.7196356833501,1.86075275033908,0.284236775121388,6.54648839702188,5.8905723522154e-11,1.05328342467905e-07,"up"
"8","LINC02751",30.6022358265089,4.26512832702644,0.670807446660664,6.35820062561709,2.04130752326739e-10,2.69639363846518e-07,"up"
"9","GOLT1A",47.7445358312729,1.84951214594803,0.295102723041764,6.26735032087886,3.67243338305397e-10,3.93997015500945e-07,"up"
"10","SYBU",63.9684934430097,1.79293256966801,0.285818397792494,6.27297816905996,3.54206587141765e-10,3.93997015500945e-07,"up"
"11","DHRS9",53.1882186185226,2.87335759685229,0.4731234448615,6.07316679834672,1.25412068732042e-09,1.01358164747846e-06,"up"
"12","RHBG",36.7431034051388,2.41527403205884,0.410478068874542,5.88405134208775,4.00343558737304e-09,2.77102314187946e-06,"up"
"13","EPB41L3",73.850489704306,3.6405152050222,0.62055295412633,5.86656655296669,4.4491173288213e-09,2.98327220389121e-06,"up"
"14","S100A7A",705.850080026568,2.38910241803242,0.422499921853458,5.65468132526913,1.56135688297151e-08,9.57200989654846e-06,"up"
"15","CGB5",599.540390898435,-1.64120554320178,0.291260004785973,-5.634846927946,1.75213897221135e-08,1.04432349796497e-05,"down"
"16","PRR9",55.8351066895202,3.12378293745239,0.558097935910774,5.59719493023139,2.17847722704601e-08,1.26142684532822e-05,"up"
"17","IGHE",29.0885381514543,4.66483191576036,0.834073455161284,5.59283104730665,2.23396654343441e-08,1.26142684532822e-05,"up"
"18","PIK3CG",125.888091232674,2.12427050824881,0.381762539217656,5.5643765168842,2.63091347776545e-08,1.41128776231033e-05,"up"
"19","GSDMA",122.154605502286,2.01823421933707,0.365032895674141,5.52891052629602,3.2222562556756e-08,1.60790587158213e-05,"up"
"20","SPRR2D",1398.73612997575,4.21319235183413,0.769175630896505,5.47754268673786,4.31272988055622e-08,2.05640544549099e-05,"up"
"21","MGMT",32.5997297830845,2.34278305415254,0.428574312479449,5.46645700858443,4.59119712554173e-08,2.14159384179889e-05,"up"
"22","CYP4F2",37.5088519717462,3.37957008792056,0.618729854830779,5.46210928975597,4.70510252259992e-08,2.14802946441333e-05,"up"
"23","NPDC1",109.164818296409,1.61069102965037,0.295918873810551,5.44301554310976,5.23860739414874e-08,2.34176664283853e-05,"up"
"24","SGPP2",258.746579713151,2.36342404283649,0.434570324500921,5.43853068096802,5.37217597912936e-08,2.3524648976363e-05,"up"
"25","SPRR2E",322.739628773234,5.02651724949701,0.926024819011323,5.42805888816631,5.69702445177994e-08,2.44482107323684e-05,"up"
"26","KRT78",187.620925111214,2.28517809892337,0.421302856445868,5.42407454390708,5.82555684341483e-08,2.45096025861082e-05,"up"
"27","SPRR2B",28.3894817324137,5.65027593810447,1.0531186618562,5.36527947206389,8.08239758287316e-08,3.21155564695758e-05,"up"
"28","MARCO",75.7407216860098,1.86084795047855,0.348497416884082,5.33963197522786,9.3135450236473e-08,3.5671926153591e-05,"up"
"29","SDR9C7",42.1554715154,3.26684749895451,0.61217124992592,5.33649285122397,9.47616065039237e-08,3.5671926153591e-05,"up"
"30","AQP4",17.6150541542794,-2.70762598591734,0.5069145541017,-5.34138537552055,9.22389321378013e-08,3.5671926153591e-05,"down"
"31","SUSD2",33.960031118819,2.36058771105602,0.443726723394044,5.3199133308898,1.03816696361862e-07,3.77558449802794e-05,"up"
"32","EGFL7",456.333293492047,1.50219952692363,0.283487754326943,5.29899265134098,1.16443320215719e-07,4.04123038307689e-05,"up"
"33","SBSN",6319.34225538034,3.22115463300523,0.609416910783074,5.28563381817906,1.25270258052826e-07,4.26654591593568e-05,"up"
"34","SERPINB2",211.944238441429,1.85129315350059,0.352798416529323,5.247453125535,1.54216269671642e-07,4.79567898310785e-05,"up"
"35","UBE2L6",1032.93434923208,2.12376778797498,0.406314835003841,5.22690191204784,1.72373884834559e-07,5.28375206699305e-05,"up"
"36","RSAD2",378.837063206023,4.80369651876947,0.930036660716719,5.16506146657441,2.40359923330195e-07,6.78605641433682e-05,"up"
"37","IL1B",81.4939072637819,1.65683636862248,0.322150738524524,5.14304693576341,2.70318053301467e-07,7.43617239703791e-05,"up"
"38","BST2",620.356975628466,4.21921204974013,0.821108600935938,5.13843363098483,2.7703800451571e-07,7.52456261125772e-05,"up"
"39","ADGRE1",37.8207912124399,1.98957808578293,0.387856556013405,5.12967501757058,2.90242811957093e-07,7.78467502020417e-05,"up"
"40","LCE3D",227.668999788677,4.52263298399249,0.886031050930495,5.10437301180687,3.31893052920861e-07,8.79188794632459e-05,"up"
"41","BRINP1",20.2335960125759,-2.39905620775992,0.472554314399685,-5.07678405350629,3.83876737944963e-07,9.91066639806045e-05,"down"
"42","USP18",93.1830209381525,2.27570460895622,0.450786068031196,5.04830288765431,4.45752052599925e-07,0.000111215137123681,"up"
"43","RNF144A",14.7808481954402,2.35799936075398,0.472667394483621,4.98870746802843,6.07846092201664e-07,0.000138248492418482,"up"
"44","ALOX12B",42.9586025412075,3.18993431015797,0.639419049788561,4.98880086730728,6.07552330539592e-07,0.000138248492418482,"up"
"45","MAPK8IP2",82.3371526801076,1.53119985490034,0.308212323715344,4.96800334406652,6.76457965117143e-07,0.000149636686159985,"up"
"46","TYMP",1844.20836061937,1.7019045192922,0.344440725154493,4.941066473858,7.76964112676135e-07,0.00016986341072828,"up"
"47","PLA2G4F",246.348247988495,2.2870891140595,0.463536937543114,4.93399539243143,8.05643409052761e-07,0.000172866906280451,"up"
"48","ACSS3",17.8789960821888,-2.76168684550765,0.561509767500475,-4.91832378589089,8.72884445006518e-07,0.000185440411252523,"down"
"49","S100A9",21190.4944123871,2.00956250227653,0.409352917782271,4.90911977167192,9.14860937362877e-07,0.00019245265816662,"up"
"50","FAM83C",280.796637027593,3.41103217879989,0.699386218467002,4.87717957365044,1.07613459996378e-06,0.000222025193379066,"up"
"51","UPK3B",479.992637723658,1.59489143276122,0.327885699679008,4.86416892936343,1.14938717882814e-06,0.00023048972613192,"up"
"52","PKNOX2",38.1974881622934,2.90888288170945,0.597803307170856,4.8659531434778,1.13906504180667e-06,0.00023048972613192,"up"
"53","LCE3E",224.402654315874,4.57261365583707,0.941641105714776,4.85600472206034,1.1977784615016e-06,0.000237969744892962,"up"
"54","THRB",47.8332411579773,2.41286431454456,0.497901879470547,4.84606388132202,1.25934981251795e-06,0.000245653353883615,"up"
"55","FUT3",786.062480990101,1.84782592064619,0.383653192124799,4.81639657528279,1.46173873567485e-06,0.000275127439047152,"up"
"56","TNFRSF8",13.1725217671972,2.70581150785432,0.566424512420715,4.77700284595835,1.77927256522843e-06,0.000326306422496636,"up"
"57","SPRR2G",68.1998151026599,4.79683716127906,1.00956872039827,4.75137260531086,2.02040434510407e-06,0.000358279471346265,"up"
"58","UBA7",229.210403852838,1.54579525164908,0.325139988209676,4.75424527189263,1.99189103652038e-06,0.000358279471346265,"up"
"59","ALDH2",96.8894171152374,2.48265152572787,0.52236577082498,4.75270713432654,2.00710974724062e-06,0.000358279471346265,"up"
"60","ITIH5",90.2111938065765,1.92119269338633,0.404790309767674,4.74614299558943,2.07332163314241e-06,0.000364649690838826,"up"
"61","OAS2",1799.44986585112,1.90886259250747,0.402469166335521,4.74287908782591,2.10702040586062e-06,0.000367563714215864,"up"
"62","CSF2RB",12.9369605540897,2.7966168438082,0.590122053038587,4.73904818402938,2.14724445254869e-06,0.00036871851963482,"up"
"63","HRH2",12.4971529799318,-2.17752471894622,0.45996171189169,-4.73414343552789,2.19982123248731e-06,0.000374615588773652,"down"
"64","TGM1",602.953872621773,3.14027854216847,0.665187005321964,4.72089580380258,2.34808208483154e-06,0.000390564320110313,"up"
"65","IFI27",3127.73529598203,2.83400798609443,0.599950479475605,4.72373651333946,2.31550382223857e-06,0.000390564320110313,"up"
"66","KRT34",35.273156753078,2.54985446788275,0.542427616427045,4.70081977882795,2.5911913071204e-06,0.000427686091360634,"up"
"67","LOC124900697",25.7433319777972,2.67025059373969,0.56950893502325,4.68868955257161,2.74960151011058e-06,0.00045036793589651,"up"
"68","LINC00520",154.874222686488,1.97401096038092,0.421720633816294,4.68084983776446,2.85688145831725e-06,0.00046090304850461,"up"
"69","EEF1A2",507.199535826716,1.77194639649212,0.378516895817772,4.68128745657152,2.85078864165209e-06,0.00046090304850461,"up"
"70","SLC5A1",151.273348183504,2.31008390733167,0.495318945919079,4.66383110592557,3.10376147274856e-06,0.000496995596423625,"up"
"71","GPC1-AS1",31.3044234372175,1.92815376454104,0.413902027302629,4.65847866729884,3.18554810273813e-06,0.0005032748782327,"up"
"72","C8orf74",31.995952818633,2.31145053942294,0.496211261144817,4.65819847395272,3.18988597845212e-06,0.0005032748782327,"up"
"73","S100A12",214.880923032177,2.79974391359279,0.603777963605787,4.63704222802801,3.53430226691595e-06,0.000553543968913982,"up"
"74","CXADR",127.660844371243,1.62631532874252,0.353587461705831,4.59947114893894,4.23564846249141e-06,0.000635554608808939,"up"
"75","NRN1",61.2470553973803,2.40943204880993,0.526259600743854,4.57840967728523,4.68524393513695e-06,0.00067926539943401,"up"
"76","ATP13A4",37.8835324181357,3.26798227707534,0.716332111164965,4.56210495961244,5.06433179390114e-06,0.000720478370498959,"up"
"77","LAMP3",93.1667251147569,2.1481312233242,0.472813244787275,4.54329747951682,5.53810104893416e-06,0.000771630092253119,"up"
"78","RIPK3",31.1985011892726,1.99758999400836,0.439651264041488,4.54357841632376,5.53072174323612e-06,0.000771630092253119,"up"
"79","VSIG2",86.7100548762367,2.49174100997949,0.550671316864263,4.52491519654307,6.04197277847979e-06,0.000822391918496748,"up"
"80","RORC",63.0043018743996,1.66250305780208,0.369103966122781,4.50415928949692,6.66362119936409e-06,0.000866553454998517,"up"
"81","SLIT1",14.0487928720167,2.67278526481915,0.594938705459635,4.49253887886522,7.03790647461263e-06,0.000893564255773746,"up"
"82","STEAP4",74.9034426233329,2.108201178004,0.469534538229256,4.48998104794295,7.12295108997697e-06,0.000897593625958552,"up"
"83","VSIR",393.877892425872,1.54872794856274,0.345189881223024,4.48659718261592,7.23697149139347e-06,0.000897593625958552,"up"
"84","DMKN",1589.88554664366,2.7107806671911,0.603882171634529,4.48892316170524,7.15841100129115e-06,0.000897593625958552,"up"
"85","KRT4",4290.65235830204,2.94220007582412,0.657674139187364,4.4736441658776,7.68976700220296e-06,0.000932199607719033,"up"
"86","NCF1",39.3830841107741,2.48687459223077,0.556114824002319,4.4718725070713,7.75376516707438e-06,0.000934210174957183,"up"
"87","SAGE1",38.4731976468468,2.168319125846,0.484997787489351,4.47078147937656,7.79342971139189e-06,0.000934210174957183,"up"
"88","ZBP1",50.9315122939125,2.97937419036856,0.666761086383184,4.46842842393525,7.87963694088226e-06,0.000939296499113948,"up"
"89","ATP10A",27.7619718644783,3.56013353103549,0.79699677123138,4.46693595199262,7.93478726738279e-06,0.000940644919316201,"up"
"90","TMEM125",115.306254698121,1.62116417531241,0.363566398671201,4.45905942143609,8.23200989763665e-06,0.000970461490198112,"up"
"91","CES5A",22.2441001985548,2.76826049627844,0.62114349740694,4.45671653625125,8.32245328135288e-06,0.000970461490198112,"up"
"92","SCNN1D",142.406908776235,1.95246162618745,0.439184848931447,4.44564886730008,8.76269751579041e-06,0.00101086666987266,"up"
"93","CYP4F22",141.13905578128,4.00108207447875,0.900489199840428,4.44323160698403,8.86176824765495e-06,0.00101682866999964,"up"
"94","NOS3",365.859928372391,1.50391520678249,0.340007957854656,4.4231764934907,9.72602238516578e-06,0.00108693365790886,"up"
"95","SAA1",566.192569871712,1.6728702297615,0.378462769756738,4.42017118575958,9.86227442214486e-06,0.00109644985635214,"up"
"96","CCDC13-AS2",37.4339754901974,1.78891304049622,0.406695109431813,4.3986588454321,1.0892189003956e-05,0.00116275472367106,"up"
"97","CCR7",24.5250677181421,1.6445323397817,0.37402517884351,4.39684928396162,1.09833553517286e-05,0.0011639957945369,"up"
"98","RNF222",51.9525219052547,2.12921646749493,0.484646059301546,4.39334319681352,1.11620706002815e-05,0.00117404190622667,"up"
"99","SLC6A10P",21.0254343452604,2.44950753540368,0.557771701111998,4.39159521811565,1.12522038164517e-05,0.00117774896238831,"up"
"100","KRTAP3-1",22.5068846412583,2.64254779962888,0.602536156954508,4.38570825854755,1.15608986499421e-05,0.00119260674197985,"up"
"101","CMPK2",150.744726230296,3.55904975607394,0.8118142329646,4.38406917685704,1.1648275716562e-05,0.00119587106244149,"up"
"102","IFI44L",261.392486401555,1.94319591796338,0.44335939672741,4.38289101867871,1.17114706245604e-05,0.00119663345329139,"up"
"103","KRT27",15.8111872767886,3.74306209888199,0.854969699387017,4.3780055615604,1.19770294920177e-05,0.00121796740194419,"up"
"104","ESR1",28.7821418161976,1.66850419218071,0.384919228604699,4.33468652171236,1.45967978507633e-05,0.00139822987269566,"up"
"105","KRTDAP",360.655474905829,4.39408464137011,1.01370059220746,4.33469672914114,1.45961205880665e-05,0.00139822987269566,"up"
"106","EFR3B",32.6487573579411,2.19370569170403,0.507042195900331,4.32647560585912,1.51514090760903e-05,0.00141966718142214,"up"
"107","CT45A10",17.7594954591593,2.05186619026768,0.47588824382152,4.31165555549472,1.62036717303446e-05,0.00147322959456781,"up"
"108","CCL5",34.8920732113556,2.67256162518023,0.620005392399844,4.31054577579656,1.62852111971727e-05,0.00147439568210015,"up"
"109","EML1",29.0844617629238,1.78507667019028,0.414363301635612,4.30799895440563,1.64738163825244e-05,0.00148520452991523,"up"
"110","ADAMTS2",88.3424502991041,1.74685071239268,0.4058870888227,4.30378487145163,1.67904709863145e-05,0.00150113806647229,"up"
"111","H2BC18",20.4864629639418,1.52186332186836,0.355061740354425,4.28619349510658,1.81760687336906e-05,0.00159185268089306,"up"
"112","RNF208",253.51945499804,1.5964241201934,0.376342139253908,4.24194889086375,2.21587160048856e-05,0.00188674432268583,"up"
"113","HOPX",159.042424344373,2.09978138468463,0.495219047733554,4.24010626064285,2.23414000585433e-05,0.00188732055533923,"up"
"114","LRRC55",33.2000340553812,1.60050148831726,0.378709869899982,4.22619428624862,2.3767680097211e-05,0.00196147350709945,"up"
"115","NPNT",50.3924363891847,2.04889885792729,0.485528477597729,4.21993549804682,2.44372226542404e-05,0.002007627400621,"up"
"116","CYP4F12",45.6746142599513,2.19169416177734,0.520875926792456,4.20770868654605,2.57973130829217e-05,0.00209671570765246,"up"
"117","S100A7",5754.74670859169,2.34540194798357,0.557774214578797,4.20493075276829,2.61162104082332e-05,0.00211050119736873,"up"
"118","NCF1C",8.9533547486335,3.068236401389,0.729747075631533,4.20452031100461,2.61636444283956e-05,0.00211050119736873,"up"
"119","PGBD5",183.483374585802,1.59787705200292,0.380543888149137,4.19892974703802,2.68179499852022e-05,0.00214713713743464,"up"
"120","ADAP2",19.754819749362,1.65437218231482,0.395519898533993,4.18277863755225,2.87967750375998e-05,0.0022226345395028,"up"
"121","SERPINB11",113.745393853101,4.18102786070145,1.00046431847123,4.17908743321334,2.92681155655051e-05,0.00225091740390338,"up"
"122","IFI6",3538.38406285335,2.57561529760365,0.618714326431518,4.16285058802292,3.14299039725737e-05,0.00238300865561666,"up"
"123","IL10RA",14.7972019999387,2.16900837149485,0.522602314581812,4.15039947389154,3.31895512051165e-05,0.00249396101613317,"up"
"124","IL36B",32.0283844125402,2.95300070561142,0.712788230107604,4.14288645754662,3.42961764899803e-05,0.00252899783318176,"up"
"125","KCNK13",28.2417344535358,2.2263696187042,0.539630207924373,4.12573200315764,3.69557418165441e-05,0.00267891673026212,"up"
"126","ISLR",6.39609653837241,5.96621148223606,1.4478136258417,4.12084219663808,3.77489927672351e-05,0.0027180541537133,"up"
"127","LCE3A",14.4167615150707,3.59028897990846,0.873964847999977,4.10804735239025,3.99018307646006e-05,0.00285391194238679,"up"
"128","PLA2G4E",127.283348404541,2.9760159200025,0.725557154221826,4.10169743718445,4.10130338906772e-05,0.00290622906214805,"up"
"129","SMIM5",134.324123113598,2.03634340392713,0.497830084320305,4.0904386216582,4.30558147200377e-05,0.00299048571623332,"up"
"130","CPXM2",68.2940871251853,2.23467208292721,0.546533407779889,4.08881150011455,4.33589008129828e-05,0.0030011352733683,"up"
"131","ALOX15",31.64390241432,1.52594507748831,0.373624153877823,4.08417138359663,4.42343758292215e-05,0.00303238658839491,"up"
"132","SLC34A3",40.4457113177145,2.35479260052878,0.57747913206128,4.07771029253209,4.54813878320072e-05,0.00308626430714967,"up"
"133","FAM9A",28.6961033680771,1.93280927563843,0.474350922633025,4.07464006796867,4.60855689365407e-05,0.00309018141459798,"up"
"134","CNFN",605.913260399536,3.03886239200361,0.746477682971383,4.07093535590682,4.68247432611921e-05,0.00312024383899192,"up"
"135","LORICRIN",29.8029724625025,4.35719887188553,1.07129955984543,4.06720868298892,4.75796321072451e-05,0.00314128051115433,"up"
"136","SERPINB1",6295.65501138208,1.60443012700545,0.395087659917091,4.06094720179855,4.8874024360128e-05,0.00318306175944755,"up"
"137","GGT6",452.373433000227,1.76752254266052,0.435443966144042,4.05912741956753,4.9256431824358e-05,0.00318306175944755,"up"
"138","HSH2D",237.907818873299,1.72372179009634,0.427490350239299,4.03218877135225,5.52597707947787e-05,0.0034449122874973,"up"
"139","VNN1",19.6119490929143,1.90253053158849,0.472100798416223,4.02992441014925,5.57947920812189e-05,0.00345084714143619,"up"
"140","UCHL1",25.0227354626217,1.5583560984122,0.387685161542705,4.0196433936524,5.8286297891338e-05,0.00354009142059591,"up"
"141","CHAC1",70.8519956610266,1.92237041613638,0.47850278633715,4.01746963868646,5.88264117799892e-05,0.00354009142059591,"up"
"142","SCNN1G",42.6265447427599,2.65210758749227,0.660023963885469,4.01819893308067,5.86446775089485e-05,0.00354009142059591,"up"
