"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","ENSEMBL","ENTREZID"
"1","GABRE",165.496057376761,3.33165470250068,0.380673805961818,8.75199357119635,2.09616346038541e-18,2.24886896847449e-14,"up","ENSG00000102287",2564
"2","ACSL5",123.41761512368,2.57458021372819,0.299428704831303,8.59830795173329,8.08999755798461e-18,5.78623592005586e-14,"up","ENSG00000197142",51703
"3","LPCAT2",815.260469890223,-0.810941833500343,0.0952998292904887,-8.50937341166128,1.74875799154903e-17,9.38077505616689e-14,"none","ENSG00000087253",54947
"4","DHRS9",53.1882186185226,2.87335759685229,0.4731234448615,6.07316679834672,1.25412068732042e-09,1.01358164747846e-06,"up","ENSG00000073737",10170
"5","SLC2A6",252.887861733124,1.11380253691233,0.1834790123503,6.0704628973359,1.27542081753826e-09,1.01358164747846e-06,"none","ENSG00000160326",11182
"6","SLC2A6",252.887861733124,1.11380253691233,0.1834790123503,6.0704628973359,1.27542081753826e-09,1.01358164747846e-06,"none","ENSG00000281165",11182
"7","PI4K2B",804.430372678049,-0.694340946896055,0.115145458335921,-6.03012013613609,1.63837839852883e-09,1.25552447490118e-06,"none","ENSG00000038210",55300
"8","RHBG",36.7431034051388,2.41527403205884,0.410478068874542,5.88405134208775,4.00343558737304e-09,2.77102314187946e-06,"up","ENSG00000132677",57127
"9","PIK3CG",125.888091232674,2.12427050824881,0.381762539217656,5.5643765168842,2.63091347776545e-08,1.41128776231033e-05,"up","ENSG00000105851",5294
"10","ABCA7",478.41632734012,0.836305310800659,0.150634812282916,5.55187275853569,2.82625289297616e-08,1.47909532498999e-05,"none","ENSG00000064687",10347
"11","TPCN1",1702.35059814379,0.486473959755517,0.0881217029801943,5.5204784213584,3.38077910963233e-08,1.64866766716775e-05,"none","ENSG00000186815",53373
"12","CYP4F2",37.5088519717462,3.37957008792056,0.618729854830779,5.46210928975597,4.70510252259992e-08,2.14802946441333e-05,"up","ENSG00000186115",8529
"13","SGPP2",258.746579713151,2.36342404283649,0.434570324500921,5.43853068096802,5.37217597912936e-08,2.3524648976363e-05,"up","ENSG00000163082",130367
"14","SDR9C7",42.1554715154,3.26684749895451,0.61217124992592,5.33649285122397,9.47616065039237e-08,3.5671926153591e-05,"up","ENSG00000170426",121214
"15","AQP4",17.6150541542794,-2.70762598591734,0.5069145541017,-5.34138537552055,9.22389321378013e-08,3.5671926153591e-05,"down","ENSG00000171885",361
"16","PRPS2",2538.35947842781,-0.48935152101616,0.0917953656351867,-5.33089571167395,9.77295324160353e-08,3.61548720181184e-05,"none","ENSG00000101911",5634
"17","ATP6V1C2",362.669923044976,0.712625660209047,0.135054583435152,5.27657516008128,1.31620543903597e-07,4.29394736381738e-05,"none","ENSG00000143882",245973
"18","SULF2",17391.771275597,-0.569472312747636,0.108130688828678,-5.26651886634985,1.39034964315846e-07,4.452646610933e-05,"none","ENSG00000196562",55959
"19","CYP1A1",110.575412141076,1.45812712514486,0.280215179098352,5.20359792726672,1.95466674987374e-07,5.90722316225928e-05,"none","ENSG00000140465",1543
"20","IL1B",81.4939072637819,1.65683636862248,0.322150738524524,5.14304693576341,2.70318053301467e-07,7.43617239703791e-05,"up","ENSG00000125538",3553
"21","INPP4B",648.205435826204,-0.584123396204769,0.116096276114066,-5.03137064991523,4.8698562126045e-07,0.000120106327303281,"none","ENSG00000109452",8821
"22","SLC8B1",1134.61423480683,0.637482250199745,0.127478894515035,5.00068856593794,5.71259255484286e-07,0.000134697910383806,"none","ENSG00000089060",80024
"23","ALOX12B",42.9586025412075,3.18993431015797,0.639419049788561,4.98880086730728,6.07552330539592e-07,0.000138248492418482,"up","ENSG00000179477",242
