"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","DNAH5",497.349586188346,-1.22455689143538,0.128219870380731,-9.55044555730114,1.29139681990399e-21,2.77095015646798e-17,"none"
"2","GABRE",165.496057376761,3.33165470250068,0.380673805961818,8.75199357119635,2.09616346038541e-18,2.24886896847449e-14,"up"
"3","ACSL5",123.41761512368,2.57458021372819,0.299428704831303,8.59830795173329,8.08999755798461e-18,5.78623592005586e-14,"up"
"4","LPCAT2",815.260469890223,-0.810941833500343,0.0952998292904887,-8.50937341166128,1.74875799154903e-17,9.38077505616689e-14,"none"
"5","MAGEA4",1024.16909444767,5.89328830363992,0.709271858809764,8.30892728992449,9.65710692348518e-17,4.14425086514443e-13,"up"
"6","WNT5B",926.86549042542,-0.895509149382835,0.117903929602487,-7.59524430103425,3.07212291566491e-14,1.09864235669037e-10,"none"
"7","KRT75",880.752867564269,2.85670439470704,0.384479653021531,7.43005350805148,1.08553757422129e-13,3.32748281858089e-10,"up"
"8","NFKB2",2407.39898130443,0.857658517565523,0.118394946554196,7.24404666353666,4.35491474478413e-13,1.16804257098541e-09,"none"
"9","ITGAM",44.4717384345606,1.91125995359716,0.270894463785788,7.05536734448919,1.72145340835937e-12,4.10413619812966e-09,"up"
"10","CD109",5287.65831028888,-0.773477972555008,0.114563251892972,-6.75153646369616,1.46287609450557e-11,2.85353930543691e-08,"none"
"11","WFDC12",112.454037609889,3.38311176129053,0.500308662532988,6.76204914014949,1.36053537714457e-11,2.85353930543691e-08,"up"
"12","MEFV",79.7196356833501,1.86075275033908,0.284236775121388,6.54648839702188,5.8905723522154e-11,1.05328342467905e-07,"up"
"13","TAGLN",867.138413825728,-1.17144123086306,0.180470541796117,-6.49103847755092,8.52467016333931e-11,1.40702959765209e-07,"none"
"14","SLC66A1",645.356269552257,0.677728535573429,0.105213426883713,6.44146432301354,1.18326265883513e-10,1.81351906218753e-07,"none"
"15","ADAM19",3493.62373748651,-0.772301106290362,0.121599087031128,-6.35120809823731,2.1363047888292e-10,2.69639363846518e-07,"none"
"16","LINC02751",30.6022358265089,4.26512832702644,0.670807446660664,6.35820062561709,2.04130752326739e-10,2.69639363846518e-07,"up"
"17","UPK2",433.536804499196,1.29571393427274,0.203669065093369,6.3618592920763,1.99326003950163e-10,2.69639363846518e-07,"none"
