"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich","cluster"
"hsa00340","Histidine metabolism","7/152","22/8659",6.11649015204673e-08,1.30281240238595e-05,9.85076835013841e-06,"ALDH3B2/FTCD/AOC1/CNDP1/ALDH2/HAL/MAOB",7,18.1258971291866,"T12"
"hsa05033","Nicotine addiction","8/152","40/8659",3.58212099432757e-07,3.81495885895887e-05,2.88455006385326e-05,"GABRE/GRIA3/CACNA1B/GABRB3/GABRP/GRIN1/GABRR1/GRIA1",8,11.3934210526316,"T12"
"hsa04726","Serotonergic synapse","11/152","115/8659",5.03911361968113e-06,0.00035777706699736,0.000270520836424987,"PLA2G4F/CYP4X1/ALOX5/KCNN2/CACNA1B/CACNA1C/PLA2G4E/GABRB3/CACNA1D/ALOX15/MAOB",11,5.44902745995423,"T12"
"hsa00910","Nitrogen metabolism","5/152","17/8659",8.14526379195144e-06,0.000433735296921414,0.000327954042149624,"CA13/CA9/CA6/CA3/CA7",5,16.7550309597523,"T12"
"hsa00010","Glycolysis / Gluconeogenesis","8/152","67/8659",2.03499993644284e-05,0.000866909972924649,0.00065548419005422,"ENO2/HK2/ALDH3B2/ALDOC/FBP1/ACSS1/ADH1C/ALDH2",8,6.80204241948154,"T12"
"hsa00982","Drug metabolism - cytochrome P450","8/152","72/8659",3.46776498029113e-05,0.00123105656800335,0.000930821126288673,"FMO3/FMO2/MGST1/ALDH3B2/ADH1C/GSTA1/GSTM5/MAOB",8,6.3296783625731,"T12"
"hsa04216","Ferroptosis","6/152","41/8659",7.17575735580324e-05,0.00218348045255156,0.001650963722463,"ACSL1/ACSL5/SLC40A1/TF/CP/ALOX15",6,8.33664955070603,"T12"
"hsa00590","Arachidonic acid metabolism","7/152","61/8659",8.82003159889191e-05,0.00234833341320497,0.00177561162451377,"PLA2G2F/PLA2G4F/ALOX5/CYP4F3/CYP4F8/PLA2G4E/ALOX15",7,6.53720880069025,"T12"
"hsa04260","Cardiac muscle contraction","8/152","87/8659",0.000135602925287985,0.00320926923181564,0.00242657866304815,"ATP2A3/CACNA1C/COX6B2/CACNA1D/RYR2/CACNG7/ATP1B2/CACNA2D1",8,5.23835450695705,"T12"
"hsa00330","Arginine and proline metabolism","6/152","50/8659",0.000222693380444357,0.0047433690034648,0.00358653549557753,"P4HA1/AOC1/GATM/CNDP1/ALDH2/MAOB",6,6.83605263157895,"T12"
"hsa00980","Metabolism of xenobiotics by cytochrome P450","7/152","78/8659",0.000416516829722088,0.00806528043007316,0.00609828468396932,"MGST1/ALDH3B2/ADH1C/GSTA1/GSTM5/CYP2F1/DHDH",7,5.11243252361673,"T12"
"hsa04978","Mineral absorption","6/152","60/8659",0.000607476021539239,0.0107190298840132,0.00810482615396107,"SLC34A2/TRPV6/SLC5A1/SLC40A1/TF/ATP1B2",6,5.69671052631579,"T12"
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy","7/152","84/8659",0.000654213091512544,0.0107190298840132,0.00810482615396107,"ATP2A3/ITGB3/CACNA1C/CACNA1D/RYR2/CACNG7/CACNA2D1",7,4.74725877192982,"T12"
