"group","metabolite"
1,"GSSG_pos-086"
1,"Nicotinamide_pos-118"
1,"Lac-Phe"
1,"y-Glu-Cys_neg-095"
1,"Xanthosine_pos-160"
1,"Histamine_pos-090"
1,"G6P-F6P_neg-037"
1,"GSH_pos-085"
1,"FAD_pos-074"
1,"N-Acetyl-aspartic acid_pos-111"
1,"a-D-Galactose 1-phosphate_neg-092"
1,"UDP-N-acetylglucosamine_neg-086"
1,"Spermidine_pos-144"
1,"Thiamine_pos-147"
1,"Purine_pos-134"
1,"Xanthine_neg-089"
1,"Cystathionine _pos-066"
1,"Succinate_neg-079"
1,"AICAR_pos-034"
1,"Hypoxanthine_pos-096"
1,"Riboflavin_pos-138"
1,"Uracil_pos-156"
1,"Cytosine_pos-070"
2,"2-Aminoadipic acid_pos-005"
2,"dCMP_neg-028"
2,"1-Methylnicotinamide_pos-003"
2,"Acetylcarnitine_pos-029"
2,"5-Hydroxylysine_pos-023"
2,"Pyroglutamic acid_neg-072"
2,"y-Aminobutyric acid_pos-161"
2,"4-Hydroxybenzoic acid_neg-012"
2,"CMP_pos-061"
2,"1,2,3-Benzenetricarboxylic acid_neg-001"
2,"Phosphoethanolamine_pos-129"
2,"Ribose 5-phosphate_neg-074"
2,"Taurine_neg-080"
2,"Serine_pos-141"
2,"Carnosine_pos-057"
2,"Kynurenic acid_pos-101"
2,"nicotinate_pos-119"
2,"N-Acetyl-D-glucosamine 6-phosphate_neg-061"
2,"ADP-ribose_neg-017"
2,"N,N-Dimethylglycine_pos-110"
3,"Homoserine_pos-094"
3,"Histidine_pos-091"
3,"N-Methyl-L-arginine_pos-120"
3,"3-Phenyllactic acid_neg-009"
3,"Carnitine-C12_pos-048"
3,"Glucuronic acid_neg-043"
3,"Glyceric acid_neg-046"
3,"Lysine_pos-105"
3,"Glutamine_pos-079"
3,"Gluconic acid_neg-040"
3,"Adenosine_pos-032"
3,"Carnitine-C16_pos-050"
3,"Indole-3-carboxylic acid_neg-052"
3,"Putrescine_pos-135"
3,"SDMA-ADMA_pos-140"
3,"2-Hydroxyisocaproic acid_neg-003"
4,"Tryptophan_pos-154"
4,"S-(5'-Adenosyl)-L-homocysteine_neg-075"
4,"Valine-Norvaline_pos-158"
4,"Guanine_pos-088"
4,"Serotonin_pos-142"
4,"Cystine_pos-068"
4,"2'-Deoxyadenosine_pos-007"
4,"Arginine_pos-038"
4,"Methionine_pos-107"
4,"Proline_pos-132"
4,"dTMP_neg-033"
4,"Betaine_pos-042"
4,"Glycerophosphorylcholine_pos-080"
4,"N-Acetylputrescine_pos-114"
4,"7-Methylguanosine_pos-028"
4,"S-Methyl-5'-thioadenosine_pos-143"
4,"dUMP_neg-034"
4,"Phenylalanine_pos-127"
4,"Guanosine_pos-089"
4,"1-Methylhistidine_pos-002"
4,"Isoleucine_pos-100"
