"group","metabolite"
1,"TAGLN"
1,"MYL7"
1,"C8orf74"
1,"LOC112268410"
1,"C2CD2L"
1,"ANAPC7"
1,"SOCS1"
1,"MMP16"
1,"FMO2"
1,"SLPI"
1,"ITM2A"
1,"CPNE2"
1,"CXADR"
1,"ACTG2"
1,"KLHL22"
1,"DDIT4L"
1,"BRD7P5"
1,"C1QTNF1"
1,"UPK2"
1,"LBH"
1,"SMIM22"
1,"OR10G2"
1,"TMEM191C"
1,"DIPK1C"
1,"CTSW"
1,"TTC4"
1,"SLIT3"
1,"RALGAPA1P1"
1,"SPTLC2"
1,"ATP2A3"
1,"GPR12"
1,"PSME2"
1,"KRT10"
1,"TRIM16"
1,"ERCC2"
1,"TRPC6"
1,"CDH11"
1,"TMEM125"
1,"NCCRP1"
1,"TALDO1"
1,"KCNK12"
1,"MFAP4"
1,"HHLA3"
1,"CCL22"
1,"LRRN1"
1,"MMP7"
1,"KCNN2"
1,"RHOV"
1,"VAMP8"
1,"ADH1C"
1,"CCL28"
1,"CLU"
1,"ZNF557"
1,"PRR15L"
1,"OMD"
1,"UPK3B"
1,"TRAC"
1,"MUC4"
1,"LOC105374468"
1,"AQP5-AS1"
1,"LINC02800"
1,"GMDS"
1,"SORBS3"
1,"UBE2D4"
1,"LYPD2"
1,"TLR10"
1,"HECW2"
1,"CSDC2"
1,"BRINP3"
1,"ANXA3"
1,"LOC124903372"
1,"C3"
1,"VAMP5"
1,"LGALS14"
1,"KIAA0930"
1,"TWIST1"
1,"PI3"
1,"TCF7"
1,"ARRB2"
1,"TFCP2L1"
1,"GOLGA6L22"
1,"WNT4"
1,"CACNA1G"
1,"FMO3"
1,"SLC4A11"
1,"WNT11"
1,"MUC16"
1,"PRR5"
1,"TMEM147"
1,"TAF1A-AS1"
1,"AQP5"
1,"LOC101927042"
1,"LCMT1"
1,"KRT75"
1,"BICDL2"
1,"CLIC5"
1,"SLC27A2"
1,"COL22A1"
1,"BMP3"
1,"COL1A1"
1,"CRACR2B"
1,"HS3ST3B1"
1,"EFNB2"
1,"VSIG2"
1,"SP6"
1,"ACOT13"
1,"PITPNM2"
1,"FBLN7"
1,"LGR6"
1,"ANKRD1"
