"ENSEMBL","efflen"
"ENSG00000279928",570
"ENSG00000228037",626
"ENSG00000142611",9767
"ENSG00000284616",1225
"ENSG00000157911",3782
"ENSG00000269896",2407
"ENSG00000228463",8224
"ENSG00000260972",1697
"ENSG00000224340",337
"ENSG00000226374",2168
"ENSG00000229280",372
"ENSG00000142655",2932
"ENSG00000232596",3328
"ENSG00000235054",2574
"ENSG00000231510",449
"ENSG00000149527",10809
"ENSG00000284739",464
"ENSG00000171621",3389
"ENSG00000272235",3461
"ENSG00000284694",3402
"ENSG00000224387",455
"ENSG00000142583",6632
"ENSG00000284674",1580
"ENSG00000224338",565
"ENSG00000287727",2876
"ENSG00000286448",736
"ENSG00000284703",4817
"ENSG00000226457",381
"ENSG00000173614",4610
"ENSG00000215720",710
"ENSG00000241326",436
"ENSG00000233623",680
"ENSG00000162592",4238
"ENSG00000204624",6120
"ENSG00000142606",3870
"ENSG00000225931",1297
"ENSG00000171729",2238
"ENSG00000279457",1397
"ENSG00000229393",514
"ENSG00000037637",9009
"ENSG00000287586",3225
"ENSG00000159423",3632
"ENSG00000227169",356
"ENSG00000283356",135
"ENSG00000157916",5689
"ENSG00000157881",5072
"ENSG00000238290",2044
"ENSG00000225387",491
"ENSG00000048707",20768
"ENSG00000225196",316
"ENSG00000162444",862
"ENSG00000279625",1853
"ENSG00000180758",5304
"ENSG00000184677",9169
"ENSG00000288398",2662
"ENSG00000224621",544
"ENSG00000285833",1051
"ENSG00000131697",13167
"ENSG00000284692",2316
"ENSG00000284745",1654
"ENSG00000280222",6473
"ENSG00000285945",593
"ENSG00000197921",1324
"ENSG00000233755",863
"ENSG00000233929",186
"ENSG00000234166",439
"ENSG00000235282",266
"ENSG00000055070",4742
"ENSG00000175087",4560
"ENSG00000230035",430
"ENSG00000225643",483
"ENSG00000284666",609
"ENSG00000228943",235
"ENSG00000234397",492
"ENSG00000284309",941
"ENSG00000162511",3228
"ENSG00000158014",3483
"ENSG00000204138",7317
"ENSG00000233419",402
"ENSG00000235263",708
"ENSG00000228176",498
"ENSG00000231251",93
"ENSG00000142675",3960
"ENSG00000197245",2799
"ENSG00000130772",2017
"ENSG00000215899",1342
"ENSG00000271398",425
"ENSG00000225011",349
"ENSG00000235069",235
"ENSG00000284676",1953
"ENSG00000237058",373
"ENSG00000233399",1519
"ENSG00000090020",6195
"ENSG00000157978",5371
"ENSG00000130770",2225
"ENSG00000229044",439
"ENSG00000162512",7065
"ENSG00000158006",3795
"ENSG00000214812",557
"ENSG00000126698",2892
"ENSG00000229447",437
"ENSG00000229607",444
"ENSG00000130766",3462
"ENSG00000168528",3452
"ENSG00000196581",12528
"ENSG00000169403",4208
"ENSG00000084628",3320
"ENSG00000060688",3887
"ENSG00000171612",3865
"ENSG00000270927",493
"ENSG00000188910",2362
"ENSG00000230523",2148
"ENSG00000158161",6424
"ENSG00000142684",732
"ENSG00000121769",1398
"ENSG00000142627",4141
"ENSG00000284668",1835
"ENSG00000233234",607
"ENSG00000142632",3788
"ENSG00000234593",2858
"ENSG00000270605",1945
"ENSG00000189337",13860
"ENSG00000235143",1747
"ENSG00000225478",223
"ENSG00000028137",3778
"ENSG00000204464",559
"ENSG00000233372",551
"ENSG00000283259",1565
"ENSG00000284543",9848
"ENSG00000130939",9237
"ENSG00000175147",11973
"ENSG00000127472",3342
"ENSG00000060656",6682
"ENSG00000163867",9568
"ENSG00000232768",163
"ENSG00000230214",523
"ENSG00000189280",1355
"ENSG00000134698",7423
"ENSG00000272420",568
"ENSG00000132881",1574
"ENSG00000273274",12831
"ENSG00000236648",1328
"ENSG00000232273",532
"ENSG00000009709",6473
"ENSG00000287396",663
"ENSG00000158008",4542
"ENSG00000130940",11336
"ENSG00000163879",4456
"ENSG00000227527",661
"ENSG00000116954",5116
"ENSG00000228589",681
"ENSG00000163873",10497
"ENSG00000117215",2681
"ENSG00000230163",720
"ENSG00000227538",1133
"ENSG00000044012",604
"ENSG00000179051",4079
"ENSG00000215895",1960
"ENSG00000284650",1039
"ENSG00000237329",507
"ENSG00000236948",1095
"ENSG00000126067",4528
"ENSG00000274944",3251
"ENSG00000272078",7923
"ENSG00000230451",145
"ENSG00000231606",1549
"ENSG00000215900",252
"ENSG00000284632",1240
"ENSG00000241014",1887
"ENSG00000054118",4720
"ENSG00000254553",3447
"ENSG00000284653",2013
"ENSG00000237749",253
"ENSG00000276747",2396
"ENSG00000284705",2694
"ENSG00000228776",454
"ENSG00000159339",2971
"ENSG00000261781",2471
"ENSG00000284743",674
"ENSG00000158315",2826
"ENSG00000186973",843
"ENSG00000146463",7905
"ENSG00000271741",3099
"ENSG00000142686",3049
"ENSG00000224751",1312
"ENSG00000117148",1844
"ENSG00000230585",811
"ENSG00000117000",6232
"ENSG00000284989",4037
"ENSG00000231630",429
"ENSG00000092853",9591
